Mon Nov 11 18:01:28 2024       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.100                Driver Version: 550.100        CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA RTX A5000               On  |   00000000:01:00.0 Off |                  Off |
| 30%   19C    P8             18W /  230W |       2MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
|   1  NVIDIA RTX A5000               On  |   00000000:41:00.0 Off |                  Off |
| 30%   17C    P8             17W /  230W |       2MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
|   2  NVIDIA RTX A5000               On  |   00000000:81:00.0 Off |                  Off |
| 30%   18C    P8             15W /  230W |       2MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
|   3  NVIDIA RTX A5000               On  |   00000000:C1:00.0 Off |                  Off |
| 30%   18C    P8             17W /  230W |       2MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
#"Progress (%)"	"Step"	"Time (ps)"	"Speed (ns/day)"	"Time Remaining"
95000.0%	950000	3395.079999947883	329	23:43:23
95050.0%	950500	3397.079999947836	329	23:43:23
95100.0%	951000	3399.0799999477886	328	23:43:21
95150.0%	951500	3401.0799999477413	328	23:43:20
95200.0%	952000	3403.079999947694	329	23:43:20
95250.0%	952500	3405.0799999476467	329	23:43:20
95300.0%	953000	3407.0799999475994	329	23:43:20
95350.0%	953500	3409.079999947552	328	23:43:18
95400.0%	954000	3411.079999947505	328	23:43:18
95450.0%	954500	3413.0799999474575	329	23:43:18
95500.0%	955000	3415.07999994741	329	23:43:18
95550.0%	955500	3417.079999947363	329	23:43:18
95600.0%	956000	3419.0799999473156	328	23:43:15
95650.0%	956500	3421.0799999472683	328	23:43:15
95700.0%	957000	3423.079999947221	329	23:43:15
95750.0%	957500	3425.0799999471737	329	23:43:15
95800.0%	958000	3427.0799999471265	329	23:43:15
95850.0%	958500	3429.079999947079	328	23:43:13
95900.0%	959000	3431.079999947032	328	23:43:12
95950.0%	959500	3433.0799999469846	329	23:43:12
96000.0%	960000	3435.0799999469373	329	23:43:12
96050.0%	960500	3437.07999994689	329	23:43:12
96100.0%	961000	3439.0799999468427	328	23:43:10
96150.0%	961500	3441.0799999467954	328	23:43:10
96200.0%	962000	3443.079999946748	329	23:43:10
96250.0%	962500	3445.079999946701	329	23:43:10
96300.0%	963000	3447.0799999466535	329	23:43:10
96350.0%	963500	3449.079999946606	328	23:43:07
96400.0%	964000	3451.079999946559	328	23:43:07
96450.0%	964500	3453.0799999465116	329	23:43:07
96500.0%	965000	3455.0799999464643	329	23:43:07
96550.0%	965500	3457.079999946417	329	23:43:07
96600.0%	966000	3459.0799999463698	328	23:43:05
96650.0%	966500	3461.0799999463225	328	23:43:05
96700.0%	967000	3463.079999946275	329	23:43:05
96750.0%	967500	3465.079999946228	329	23:43:04
96800.0%	968000	3467.0799999461806	329	23:43:04
96850.0%	968500	3469.0799999461333	328	23:43:02
96900.0%	969000	3471.079999946086	328	23:43:02
96950.0%	969500	3473.0799999460387	329	23:43:02
97000.0%	970000	3475.0799999459914	329	23:43:02
97050.0%	970500	3477.079999945944	329	23:43:02
97100.0%	971000	3479.079999945897	328	23:42:59
97150.0%	971500	3481.0799999458495	328	23:42:59
97200.0%	972000	3483.0799999458022	329	23:42:59
97250.0%	972500	3485.079999945755	329	23:42:59
97300.0%	973000	3487.0799999457076	329	23:42:59
97350.0%	973500	3489.0799999456603	328	23:42:57
97400.0%	974000	3491.079999945613	328	23:42:57
97450.0%	974500	3493.0799999455658	329	23:42:56
97500.0%	975000	3495.0799999455185	329	23:42:56
97550.0%	975500	3497.079999945471	329	23:42:56
97600.0%	976000	3499.079999945424	328	23:42:54
97650.0%	976500	3501.0799999453766	328	23:42:54
97700.0%	977000	3503.0799999453293	329	23:42:54
97750.0%	977500	3505.079999945282	329	23:42:54
97800.0%	978000	3507.0799999452347	329	23:42:54
97850.0%	978500	3509.0799999451874	328	23:42:51
97900.0%	979000	3511.07999994514	328	23:42:51
97950.0%	979500	3513.079999945093	329	23:42:51
98000.0%	980000	3515.0799999450455	329	23:42:51
98050.0%	980500	3517.0799999449982	329	23:42:51
98100.0%	981000	3519.079999944951	328	23:42:49
98150.0%	981500	3521.0799999449036	328	23:42:49
98200.0%	982000	3523.0799999448564	329	23:42:49
98250.0%	982500	3525.079999944809	329	23:42:48
98300.0%	983000	3527.0799999447618	329	23:42:48
98350.0%	983500	3529.0799999447145	328	23:42:46
98400.0%	984000	3531.079999944667	328	23:42:46
98450.0%	984500	3533.07999994462	329	23:42:46
98500.0%	985000	3535.0799999445726	329	23:42:46
98550.0%	985500	3537.0799999445253	329	23:42:46
98600.0%	986000	3539.079999944478	328	23:42:44
98650.0%	986500	3541.0799999444307	328	23:42:44
98700.0%	987000	3543.0799999443834	329	23:42:43
98750.0%	987500	3545.079999944336	329	23:42:43
98800.0%	988000	3547.079999944289	329	23:42:43
98850.0%	988500	3549.0799999442415	328	23:42:41
98900.0%	989000	3551.0799999441942	328	23:42:41
98950.0%	989500	3553.079999944147	329	23:42:41
99000.0%	990000	3555.0799999440997	329	23:42:41
99050.0%	990500	3557.0799999440524	329	23:42:40
99100.0%	991000	3559.079999944005	328	23:42:38
99150.0%	991500	3561.079999943958	328	23:42:38
99200.0%	992000	3563.0799999439105	329	23:42:38
99250.0%	992500	3565.079999943863	329	23:42:38
99300.0%	993000	3567.079999943816	329	23:42:38
99350.0%	993500	3569.0799999437686	328	23:42:36
99400.0%	994000	3571.0799999437213	328	23:42:36
99450.0%	994500	3573.079999943674	329	23:42:36
99500.0%	995000	3575.0799999436267	329	23:42:35
99550.0%	995500	3577.0799999435794	329	23:42:35
99600.0%	996000	3579.079999943532	328	23:42:33
99650.0%	996500	3581.079999943485	328	23:42:33
99700.0%	997000	3583.0799999434375	329	23:42:33
99750.0%	997500	3585.0799999433902	329	23:42:33
99800.0%	998000	3587.079999943343	329	23:42:33
99850.0%	998500	3589.0799999432957	328	23:42:31
99900.0%	999000	3591.0799999432484	328	23:42:31
99950.0%	999500	3593.079999943201	329	23:42:30
100000.0%	1000000	3595.079999943154	329	23:42:30
100050.0%	1000500	3597.0799999431065	329	23:42:30
100100.0%	1001000	3599.079999943059	328	23:42:28
100150.0%	1001500	3601.079999943012	329	23:42:28
100200.0%	1002000	3603.0799999429646	329	23:42:28
100250.0%	1002500	3605.0799999429173	329	23:42:28
100300.0%	1003000	3607.07999994287	329	23:42:27
100350.0%	1003500	3609.0799999428227	328	23:42:26
100400.0%	1004000	3611.0799999427754	329	23:42:25
100450.0%	1004500	3613.079999942728	329	23:42:25
100500.0%	1005000	3615.079999942681	329	23:42:25
100550.0%	1005500	3617.0799999426335	329	23:42:25
100600.0%	1006000	3619.0799999425863	328	23:42:23
100650.0%	1006500	3621.079999942539	329	23:42:23
100700.0%	1007000	3623.0799999424917	329	23:42:23
100750.0%	1007500	3625.0799999424444	329	23:42:22
100800.0%	1008000	3627.079999942397	329	23:42:22
100850.0%	1008500	3629.07999994235	328	23:42:20
100900.0%	1009000	3631.0799999423025	329	23:42:20
100950.0%	1009500	3633.079999942255	329	23:42:20
101000.0%	1010000	3635.079999942208	329	23:42:20
101050.0%	1010500	3637.0799999421606	329	23:42:20
101100.0%	1011000	3639.0799999421133	329	23:42:18
101150.0%	1011500	3641.079999942066	329	23:42:18
101200.0%	1012000	3643.0799999420187	329	23:42:18
101250.0%	1012500	3645.0799999419714	329	23:42:17
101300.0%	1013000	3647.079999941924	329	23:42:17
101350.0%	1013500	3649.079999941877	329	23:42:15
101400.0%	1014000	3651.0799999418296	329	23:42:15
101450.0%	1014500	3653.0799999417823	329	23:42:15
101500.0%	1015000	3655.079999941735	329	23:42:15
101550.0%	1015500	3657.0799999416877	329	23:42:15
101600.0%	1016000	3659.0799999416404	329	23:42:13
101650.0%	1016500	3661.079999941593	329	23:42:13
101700.0%	1017000	3663.079999941546	329	23:42:12
101750.0%	1017500	3665.0799999414985	329	23:42:12
101800.0%	1018000	3667.079999941451	329	23:42:12
101850.0%	1018500	3669.079999941404	329	23:42:10
101900.0%	1019000	3671.0799999413566	329	23:42:10
101950.0%	1019500	3673.0799999413093	329	23:42:10
102000.0%	1020000	3675.079999941262	329	23:42:10
102050.0%	1020500	3677.0799999412147	329	23:42:09
102100.0%	1021000	3679.0799999411674	329	23:42:08
102150.0%	1021500	3681.07999994112	329	23:42:08
102200.0%	1022000	3683.079999941073	329	23:42:07
102250.0%	1022500	3685.0799999410256	329	23:42:07
102300.0%	1023000	3687.0799999409783	329	23:42:07
